task_pair_id,task_ID,task_set,test_index,attempts,solve_count,solve_rate,mean_duration_seconds,median_duration_seconds,mean_submissions,median_submissions,mean_pred_prob,outfit,difficulty,point_biserial,ability_gap,n_train_pairs,n_test_pairs,input_rows,input_cols,input_cells,input_colors,output_rows,output_cols,output_cells,output_colors,size_change_ratio,difficulty_rank
8e5c0c38__0,8e5c0c38,Public Eval,0,14,5,0.35714285714285715,306.93828571428577,250.6145,2.0714285714285716,2.0,0.4059387717253783,0.6802077453347567,1.3768402627647243,0.4597044075905244,1.028574280476506,2.0,2.0,22.0,22.0,484.0,4.0,22.0,22.0,484.0,4.0,1.0,47.0
1ae2feb7__1,1ae2feb7,Public Eval,1,8,3,0.375,89.19475,43.188500000000005,1.25,1.0,0.4591681077848767,0.2969629955641342,1.3571813426722623,0.8694973546840761,2.7070991079725535,3.0,3.0,8.0,15.0,120.0,7.0,8.0,15.0,120.0,7.0,1.0,48.0
1ae2feb7__2,1ae2feb7,Public Eval,2,8,3,0.375,183.541875,106.17699999999999,1.0,0.0,0.45917417136914007,0.29696770025566577,1.3571448237686652,0.8694973546840761,2.7070991079725535,3.0,3.0,8.0,15.0,120.0,6.0,8.0,15.0,120.0,6.0,1.0,49.0
8b9c3697__0,8b9c3697,Public Eval,0,9,5,0.5555555555555556,365.35422222222223,170.394,2.5555555555555554,2.0,0.6302716265614783,0.4985118604027811,1.3557949877459943,0.7088438639219996,2.017561887851553,3.0,1.0,23.0,27.0,621.0,3.0,23.0,27.0,621.0,4.0,1.0,50.0
d59b0160__0,d59b0160,Public Eval,0,9,4,0.4444444444444444,180.98633333333333,85.342,2.6666666666666665,1.0,0.5186762403456038,0.516336083751076,1.3471572295595857,0.80327229988889,1.5936550895625083,3.0,1.0,16.0,16.0,256.0,10.0,16.0,16.0,256.0,10.0,1.0,51.0
33067df9__0,33067df9,Public Train,0,9,4,0.4444444444444444,291.70022222222224,220.488,1.3333333333333333,1.0,0.5181467745128944,0.5326701330673883,1.3376065407829683,0.6153141445591986,1.9341727007500347,4.0,1.0,7.0,7.0,49.0,7.0,26.0,26.0,676.0,7.0,13.795918367346939,52.0
88bcf3b4__0,88bcf3b4,Public Eval,0,8,3,0.375,342.35825,246.80599999999998,1.875,1.5,0.4568497133473338,0.6947611814011163,1.320182840925612,0.0633194518973706,1.2372905958781473,5.0,2.0,22.0,22.0,484.0,7.0,22.0,22.0,484.0,7.0,1.0,53.0
f931b4a8__1,f931b4a8,Public Eval,1,10,4,0.4,103.97409999999999,83.197,1.0,1.0,0.46401487159288746,0.7577900650941125,1.2909881623642951,0.12419140810096826,1.0664368974238658,5.0,2.0,4.0,4.0,16.0,7.0,4.0,4.0,16.0,4.0,1.0,54.0
96a8c0cd__0,96a8c0cd,Public Train,0,9,4,0.4444444444444444,181.7168888888889,185.308,1.5555555555555556,2.0,0.5149964305064073,1.1556210688135913,1.2807423721544884,-0.16872916847439695,0.3486698160296516,4.0,1.0,13.0,29.0,377.0,4.0,13.0,29.0,377.0,4.0,1.0,55.0
2b9ef948__1,2b9ef948,Public Train,1,10,4,0.4,224.20190000000002,185.1395,1.2,1.5,0.46276737753032143,0.7738289550147128,1.2658748661776127,0.1645513534485854,1.0209551502132344,3.0,2.0,25.0,20.0,500.0,4.0,25.0,20.0,500.0,2.0,1.0,56.0
4e34c42c__0,4e34c42c,Public Eval,0,11,4,0.36363636363636365,670.7122727272728,707.39,1.7272727272727273,1.0,0.4204771064437761,1.1779311583034837,1.2610230683990717,-0.33931916654892663,0.09767492061627325,2.0,2.0,26.0,20.0,520.0,8.0,14.0,19.0,266.0,8.0,0.5115384615384615,57.0
f8be4b64__0,f8be4b64,Public Train,0,9,5,0.5555555555555556,485.9592222222222,385.242,3.111111111111111,2.0,0.6249854954532924,0.4907341237099981,1.2607287496823543,0.7693549993970561,1.6490219362414968,4.0,1.0,19.0,19.0,361.0,6.0,19.0,19.0,361.0,6.0,1.0,58.0
e12f9a14__0,e12f9a14,Public Eval,0,8,3,0.375,286.893875,231.0705,1.5,1.5,0.4523802676016591,0.5875076790232248,1.2487859451482213,0.650944427665615,1.379362508356563,4.0,2.0,30.0,30.0,900.0,6.0,30.0,30.0,900.0,6.0,1.0,59.0
4acc7107__0,4acc7107,Public Train,0,9,4,0.4444444444444444,233.40044444444447,199.232,3.0,1.0,0.5128937480976802,1.1217403085670223,1.2429994809863425,0.03875839983004349,0.9104909845278328,4.0,1.0,10.0,10.0,100.0,3.0,10.0,10.0,100.0,3.0,1.0,60.0
652646ff__0,652646ff,Public Train,0,9,5,0.5555555555555556,353.8056666666667,217.781,3.5555555555555554,2.0,0.622315175638217,0.6317023869732984,1.212429078274679,0.4539606883945402,1.3728886303445142,4.0,1.0,17.0,17.0,289.0,7.0,24.0,6.0,144.0,5.0,0.4982698961937716,61.0
e84fef15__0,e84fef15,Public Train,0,8,4,0.5,146.254875,123.699,1.125,1.0,0.5740105589478429,0.7706402489457986,1.1950663524865477,0.4918386187091809,1.5445447449789254,3.0,1.0,29.0,29.0,841.0,6.0,5.0,5.0,25.0,4.0,0.029726516052318668,62.0
c6e1b8da__0,c6e1b8da,Public Train,0,9,4,0.4444444444444444,98.364,86.382,1.3333333333333333,1.0,0.5100138935378622,0.3629788248232757,1.1911937637061196,0.7980780812056314,2.8645037109603333,3.0,1.0,20.0,20.0,400.0,6.0,20.0,20.0,400.0,6.0,1.0,63.0
891232d6__0,891232d6,Public Train,0,9,5,0.5555555555555556,595.4674444444445,497.396,3.5555555555555554,3.0,0.6207256378376664,0.8921572972439412,1.1837273451513808,0.26903554441552774,0.885720111724239,4.0,1.0,27.0,25.0,675.0,3.0,27.0,25.0,675.0,7.0,1.0,64.0
d35bdbdc__1,d35bdbdc,Public Eval,1,10,3,0.3,203.4195,205.335,1.4,1.0,0.3571878856293039,0.6259686580268513,1.1542096501513621,0.5374287892410455,1.1880345526197638,3.0,3.0,10.0,10.0,100.0,8.0,10.0,10.0,100.0,6.0,1.0,65.0
5833af48__0,5833af48,Public Train,0,10,6,0.6,248.2835,223.59949999999998,1.0,1.0,0.6570596515424723,0.6043751564123678,1.152183418769763,0.6453170230939985,1.3969864887652883,3.0,1.0,19.0,27.0,513.0,4.0,12.0,24.0,288.0,2.0,0.5614035087719298,66.0
dc2aa30b__0,dc2aa30b,Public Train,0,8,4,0.5,238.882625,154.028,0.75,1.0,0.5705158891166364,0.770838158792416,1.1390293332925863,0.5684674582805899,1.6249643259934703,3.0,1.0,11.0,11.0,121.0,3.0,11.0,11.0,121.0,3.0,1.0,67.0
320afe60__1,320afe60,Public Train,1,10,6,0.6,215.2732,160.3285,1.8,1.5,0.655927763138485,0.6242309296903774,1.1295026197985303,0.4114678407363557,1.4526801043890218,3.0,2.0,22.0,24.0,528.0,2.0,22.0,24.0,528.0,3.0,1.0,68.0
817e6c09__0,817e6c09,Public Train,0,9,5,0.5555555555555556,240.09211111111114,161.847,4.0,2.0,0.6175301073109097,0.4934916609597131,1.1264936063416138,0.5835644498298433,2.5528764777207953,5.0,1.0,7.0,15.0,105.0,2.0,7.0,15.0,105.0,3.0,1.0,69.0
6165ea8f__1,6165ea8f,Public Train,1,9,4,0.4444444444444444,256.64144444444446,265.631,0.6666666666666666,0.0,0.5063731113989393,0.7830371331477701,1.1253042334052725,0.03400102004590231,0.8346091738407163,3.0,2.0,22.0,23.0,506.0,7.0,20.0,20.0,400.0,9.0,0.7905138339920948,70.0
d931c21c__0,d931c21c,Public Train,0,9,4,0.4444444444444444,425.935,242.63,3.5555555555555554,2.0,0.5060929419036204,0.9696142939498156,1.1205479341424034,0.5831746491993737,1.8462439391943546,4.0,1.0,30.0,30.0,900.0,2.0,30.0,30.0,900.0,4.0,1.0,71.0
4e34c42c__1,4e34c42c,Public Eval,1,9,3,0.3333333333333333,235.6401111111111,214.024,1.1111111111111112,0.0,0.394559283856612,0.5521185258784835,1.1125789098580317,0.4989159501646606,1.5699882535905392,2.0,2.0,20.0,20.0,400.0,8.0,9.0,19.0,171.0,8.0,0.4275,72.0
423a55dc__0,423a55dc,Public Train,0,9,5,0.5555555555555556,457.2566666666666,459.681,2.888888888888889,1.0,0.616648905394729,0.4340463702794666,1.1106263676333348,0.7061306982494288,2.2626085965046974,5.0,1.0,11.0,13.0,143.0,2.0,11.0,13.0,143.0,2.0,1.0,73.0
f9a67cb5__0,f9a67cb5,Public Train,0,9,6,0.6666666666666666,274.5318888888889,175.594,4.555555555555555,2.0,0.7266125541711984,0.8625537545588379,1.0899094082210377,0.47370084215003916,1.724177176840004,3.0,1.0,15.0,14.0,210.0,3.0,15.0,14.0,210.0,3.0,1.0,74.0
506d28a5__0,506d28a5,Public Train,0,9,4,0.4444444444444444,134.49699999999999,86.956,0.4444444444444444,0.0,0.5043183700491962,0.5206972361129562,1.0885989084377536,0.5198556697017884,2.385506583326602,4.0,1.0,9.0,5.0,45.0,4.0,4.0,5.0,20.0,2.0,0.4444444444444444,75.0
b10624e5__0,b10624e5,Public Eval,0,9,6,0.6666666666666666,351.38222222222225,305.485,2.111111111111111,1.0,0.7255111369348695,0.8275043860727713,1.0700417140921323,0.6091506981811035,1.284697886718934,2.0,1.0,27.0,27.0,729.0,6.0,27.0,27.0,729.0,6.0,1.0,76.0
d47aa2ff__0,d47aa2ff,Public Train,0,9,5,0.5555555555555556,397.39244444444444,350.657,2.6666666666666665,2.0,0.613933856756497,0.5585990211887167,1.0615597368016456,0.472916955831949,2.018493900990414,3.0,1.0,10.0,21.0,210.0,5.0,10.0,10.0,100.0,6.0,0.47619047619047616,77.0
dbff022c__0,dbff022c,Public Eval,0,9,5,0.5555555555555556,105.74977777777778,82.42,2.0,2.0,0.6137324819719181,0.5650646132533759,1.0581496740526972,0.7111202434183646,1.4777679802777386,3.0,1.0,13.0,13.0,169.0,10.0,13.0,13.0,169.0,10.0,1.0,78.0
65b59efc__1,65b59efc,Public Eval,1,9,3,0.3333333333333333,161.48422222222223,74.518,0.4444444444444444,0.0,0.3907478904729438,0.703129230162209,1.044141499048059,0.49992471610400313,0.8523550518332803,3.0,2.0,12.0,20.0,240.0,9.0,16.0,16.0,256.0,5.0,1.0666666666666667,79.0
85b81ff1__0,85b81ff1,Public Train,0,9,5,0.5555555555555556,219.3008888888889,243.006,1.1111111111111112,1.0,0.6128519243248615,0.48849658061936974,1.0422745073776183,0.9089630686347974,1.7141567643761904,4.0,1.0,13.0,14.0,182.0,2.0,13.0,14.0,182.0,2.0,1.0,80.0
7491f3cf__0,7491f3cf,Public Eval,0,9,5,0.5555555555555556,171.19455555555555,68.555,1.7777777777777777,1.0,0.61184447238889,0.5125552449707842,1.0241193187969164,0.6316246815228747,2.6349209882137075,4.0,1.0,7.0,25.0,175.0,5.0,7.0,25.0,175.0,5.0,1.0,81.0
42f83767__1,42f83767,Public Train,1,9,4,0.4444444444444444,316.5433333333333,301.006,1.4444444444444444,1.0,0.5006787220514706,0.46444135932823993,1.022650072557705,0.5829141511562671,1.9865592115222745,3.0,2.0,15.0,29.0,435.0,5.0,30.0,30.0,900.0,4.0,2.0689655172413794,82.0
de493100__0,de493100,Public Train,0,8,5,0.625,189.187375,205.5445,1.125,1.0,0.6882184199270142,0.47463743605726305,1.0224203740618585,0.7527402181477639,1.9245270303368602,4.0,1.0,30.0,30.0,900.0,9.0,10.0,2.0,20.0,6.0,0.022222222222222223,83.0
8f3a5a89__0,8f3a5a89,Public Eval,0,8,4,0.5,138.9775,117.1985,2.25,1.5,0.5620521786764946,0.5390942367864054,1.003836257420003,0.6414438607942103,1.8546589627663133,3.0,1.0,12.0,12.0,144.0,3.0,12.0,12.0,144.0,4.0,1.0,84.0
4c7dc4dd__1,4c7dc4dd,Public Eval,1,10,5,0.5,72.2788,84.0505,1.5,1.0,0.5494893833793639,0.8802817938438601,1.000360515199786,0.2728147709763473,1.0981978093385127,2.0,2.0,30.0,30.0,900.0,8.0,6.0,6.0,36.0,3.0,0.04,85.0
e7b06bea__0,e7b06bea,Public Train,0,9,5,0.5555555555555556,190.33666666666667,201.842,3.7777777777777777,1.0,0.6101601941728011,1.1156467772607872,0.9936035216348809,0.46786976260466034,1.1328545217474832,5.0,1.0,9.0,9.0,81.0,5.0,9.0,9.0,81.0,5.0,1.0,86.0
6165ea8f__0,6165ea8f,Public Train,0,5,2,0.4,125.20039999999999,77.048,0.6,0.0,0.49797124185289443,0.68710478034927,0.9903959164563728,0.3202563076101744,0.9650947412157027,3.0,2.0,25.0,21.0,525.0,8.0,23.0,23.0,529.0,10.0,1.0076190476190476,87.0
e4888269__1,e4888269,Public Train,1,10,4,0.4,167.45790000000002,127.114,1.4,1.0,0.4479916649939363,0.7315390844196248,0.9704368980744599,0.22547950999794714,1.2933298667816033,3.0,2.0,24.0,13.0,312.0,10.0,24.0,13.0,312.0,10.0,1.0,88.0
dd6b8c4b__1,dd6b8c4b,Public Eval,1,9,5,0.5555555555555556,179.54088888888887,188.872,2.6666666666666665,2.0,0.6088531078341716,0.5722099637932505,0.9701164380068644,0.6250554491748832,1.6329427093301345,3.0,2.0,11.0,11.0,121.0,5.0,11.0,11.0,121.0,3.0,1.0,89.0
21897d95__1,21897d95,Public Eval,1,9,4,0.4444444444444444,402.88800000000003,413.17,1.7777777777777777,2.0,0.4970923144947097,0.9527118283053674,0.9584334937011797,0.13795861026459785,0.7641402702047593,4.0,2.0,24.0,24.0,576.0,9.0,24.0,24.0,576.0,6.0,1.0,90.0
2ccd9fef__1,2ccd9fef,Public Train,1,10,6,0.6,182.1758,154.5745,1.4,1.0,0.6472737459591495,0.6322803277177073,0.9558376853395858,0.10343855224942665,1.2185554709160373,2.0,2.0,11.0,27.0,297.0,4.0,11.0,9.0,99.0,4.0,0.3333333333333333,91.0
